IP,Country,Download,Upload,Latency,ISP,Timestamp,Latitude,Longitude,ConnectionType,DeviceID,POP,AppID,ExchangeName
188.247.74.229 HTTP/1.1,US,3.755,3.714,71,0,1544809540255,31.95,35.9333,cellular,4bfa4e12-c43a-4fd1-85c6-04faaf295305,RUH,783426,Mopub
92.253.90.169 HTTP/1.1,IT,32.111,53.416,81,0,1544809542653,31.95,35.9333,fixed,2228e766-da9f-4eb7-9046-474d7212d62c,MRS,4103398,Mopub
46.32.123.218 HTTP/1.1,US,4.403,18.356,117,0,1544809543919,31.95,35.9333,fixed,137e953a-4e12-4e70-97fb-7b556489606e,RUH,13224155,Mopub
92.241.53.183 HTTP/1.1,DE,0.705,0.000,142,0,1544809544154,31.95,35.9333,cellular,199e8880-6712-4020-816a-e0753431a143,FRA,698059,Mopub
86.108.3.47 HTTP/1.1,IT,65.821,48.017,88,0,1544809546654,31.95,35.9333,fixed,c1a45c04-2a6f-4d76-98cc-43e7b676dada,MRS,698059,Mopub
92.241.53.253 HTTP/1.1,DE,1.373,0.000,128,0,1544809547254,31.95,35.9333,cellular,7ecdb3c0-7320-4635-b5f3-5010b9b0d8ff,FRA,579914,Mopub
188.247.75.118 HTTP/1.1,US,7.080,3.192,269,0,1544809551654,32.5945,35.8841,cellular,b9aad1e6-e49a-4699-92d9-6a427d73d74c,RUH,13224155,Mopub
188.247.74.216 HTTP/1.1,US,2.448,7.991,96,0,1544809553554,31.95,35.9333,fixed,f4b77f99-c269-46a9-96fe-d2c90b051d37,RUH,15846075,Mopub
46.32.127.1 HTTP/1.1,US,20.438,22.639,69,0,1544809558754,31.95,35.9333,fixed,2bb4015e-bdf7-4200-a769-00eaacf8a6b8,RUH,13862159,Mopub
212.34.11.186 HTTP/1.1,IT,15.852,19.216,117,0,1544809560859,31.95,35.9333,fixed,b170886a-11e9-4a93-8fe5-07ed9a6d0926,MRS,898297,Mopub
213.139.52.71 HTTP/1.1,IT,5.458,2.389,214,0,1544809573854,31.95,35.9333,cellular,ac983c91-535c-4ddb-a23c-74f6db01b263,MRS,617648,Mopub
212.34.23.211 HTTP/1.1,IT,34.064,13.050,111,0,1544809576554,31.95,35.9333,cellular,d7d6098e-44ad-42cf-8d8a-1e6b8ac71b00,MRS,579914,Mopub
92.241.51.176 HTTP/1.1,DE,0.835,1.448,224,0,1544809576953,31.95,35.9333,cellular,a1ab08c5-8970-4ac9-acfb-2dbeca283f6b,FRA,579914,Mopub
92.241.51.176 HTTP/1.1,DE,0.554,1.083,235,0,1544809577053,31.95,35.9333,cellular,a1ab08c5-8970-4ac9-acfb-2dbeca283f6b,FRA,579914,Mopub
212.34.12.164 HTTP/1.1,IT,20.945,11.181,126,0,1544809577755,31.95,35.9333,fixed,ca96d326-c850-4609-a3dc-2c39f7d5e151,MRS,579914,Mopub
46.32.124.13 HTTP/1.1,US,2.009,20.274,146,0,1544809584559,31.95,35.9333,fixed,26a3bba3-cf0c-4f6b-aefa-5786e8d3bb7b,RUH,783426,Mopub
46.32.121.167 HTTP/1.1,US,2.085,14.190,101,0,1544809585254,31.95,35.9333,cellular,74cf6c6a-3caa-474e-9fc8-98bf27fa91b6,RUH,783426,Mopub
5.45.142.92 HTTP/1.1,DE,15.615,16.638,101,0,1544809586754,31.95,35.9333,fixed,3d3fbc9e-3bda-45f9-9016-fa80850f57d8,FRA,783426,Mopub
81.28.126.41 HTTP/1.1,DE,9.662,13.054,83,0,1544809589053,31.95,35.9333,fixed,17d35ce9-b88b-40dc-96fa-869eab0eb2db,FRA,13224155,Mopub
46.32.124.13 HTTP/1.1,US,2.274,11.334,238,0,1544809590654,31.95,35.9333,fixed,26a3bba3-cf0c-4f6b-aefa-5786e8d3bb7b,RUH,783426,Mopub
5.45.142.92 HTTP/1.1,DE,24.252,8.453,355,0,1544809591354,31.95,35.9333,fixed,3d3fbc9e-3bda-45f9-9016-fa80850f57d8,FRA,783426,Mopub
46.32.121.167 HTTP/1.1,US,4.183,8.127,10222,0,1544809595255,31.95,35.9333,cellular,74cf6c6a-3caa-474e-9fc8-98bf27fa91b6,RUH,783426,Mopub
46.32.126.22 HTTP/1.1,US,15.843,15.238,59,0,1544809601159,31.95,35.9333,cellular,b6aebf1a-6365-4068-bba8-7a16ae391711,RUH,783426,Mopub
188.247.72.58 HTTP/1.1,US,15.395,5.108,77,0,1544809603261,31.95,35.9333,cellular,27e6fae2-0a4b-4b45-a0ca-7a6f3d94ab6f,RUH,579914,Mopub
188.247.76.179 HTTP/1.1,US,8.071,3.300,68,0,1544809606853,31.95,35.9333,cellular,f1421e94-4b65-4854-a142-527cc2a44d93,RUH,579914,Mopub
46.32.126.22 HTTP/1.1,US,12.774,12.830,742,0,1544809607053,31.95,35.9333,cellular,b6aebf1a-6365-4068-bba8-7a16ae391711,RUH,783426,Mopub
46.32.125.228 HTTP/1.1,US,7.951,2.968,438,0,1544809608659,31.95,35.9333,cellular,ec340f94-4ecb-4e8f-83ad-28439e8a6628,RUH,4103398,Mopub
